"contrast","estimate","SE","df","t.ratio","p.value","trait"
"RCP 2.6 - RCP 6.0",-28.0908154345654,1.90261713422595,82,-14.7643027749741,6.53536114114672e-11,"spawn"
"RCP 2.6 - RCP 8.5",-33.9343586101399,2.30581968949058,82,-14.7168309667947,6.53536114114672e-11,"spawn"
"RCP 6.0 - RCP 8.5",-5.84354317557442,2.30581968949058,82,-2.53425851214994,0.0348117446941245,"spawn"
"overall",NA,NA,NA,NA,1.77369780587763e-28,"spawn"
"RCP 2.6 - RCP 6.0",-20.6517449257432,1.33112224774324,82,-15.5145366706595,6.53536114114672e-11,"hatch"
"RCP 2.6 - RCP 8.5",-23.7047716789806,1.61321362703591,82,-14.6941305737264,6.53536114114672e-11,"hatch"
"RCP 6.0 - RCP 8.5",-3.05302675323736,1.61321362703591,82,-1.89251237534295,0.147304430358292,"hatch"
"overall",NA,NA,NA,NA,3.4265221008729e-29,"hatch"
"RCP 2.6 - RCP 6.0",7.56940892041065,0.684570205122453,82,11.0571696865724,6.53689324892071e-11,"dpf"
"RCP 2.6 - RCP 8.5",10.3511177440964,0.829644298589871,82,12.4765731069206,6.53558318575165e-11,"dpf"
"RCP 6.0 - RCP 8.5",2.78170882368571,0.829644298589871,82,3.35289331634499,0.00343843551813305,"dpf"
"overall",NA,NA,NA,NA,1.4078260782259e-22,"dpf"
