"trait","scenario","intercept","slope","R2","ci.lower","ci.upper"
"spawn","RCP 2.6",-254.229,0.126,0.158,0.065,0.187
"spawn","RCP 6.0",-1006.4,0.51,0.447,0.349,0.671
"spawn","RCP 8.5",-2006.472,1.008,0.569,0.681,1.335
"hatch","RCP 2.6",-181.226,0.088,0.122,0.039,0.138
"hatch","RCP 6.0",-626.159,0.317,0.413,0.21,0.425
"hatch","RCP 8.5",-1217.446,0.612,0.53,0.397,0.827
"hatchdays","RCP 2.6",-27.517,0.015,0.018,-0.008,0.037
"hatchdays","RCP 6.0",-157.052,0.079,0.14,0.024,0.135
"hatchdays","RCP 8.5",-292.883,0.148,0.199,0.037,0.258
"dpf","RCP 2.6",75.062,-0.039,0.168,-0.057,-0.021
"dpf","RCP 6.0",380.069,-0.192,0.459,-0.252,-0.133
"dpf","RCP 8.5",788.853,-0.396,0.612,-0.514,-0.278
