"contrast","estimate","SE","df","t.ratio","p.value","trait"
"RCP 2.6 - RCP 6.0",-0.516129032258066,0.150810100938168,184,-3.42237707585434,0.00219851308869878,"spawn"
"RCP 2.6 - RCP 8.5",-1.66666666666667,0.150810100938168,184,-11.0514259741129,2.53130849614536e-14,"spawn"
"RCP 6.0 - RCP 8.5",-1.1505376344086,0.150810100938168,184,-7.6290488982586,3.72812891669128e-12,"spawn"
"overall",NA,NA,NA,NA,7.88548025814094e-22,"spawn"
"RCP 2.6 - RCP 6.0",0.907258064516139,0.441503000772372,184,2.05493068660681,0.102260146886451,"hatch"
"RCP 2.6 - RCP 8.5",3.84139784946238,0.441503000772372,184,8.70072874418108,4.37427871702312e-14,"hatch"
"RCP 6.0 - RCP 8.5",2.93413978494624,0.441503000772372,184,6.64579805757426,9.93629400980467e-10,"hatch"
"overall",NA,NA,NA,NA,1.46191619595911e-15,"hatch"
"RCP 2.6 - RCP 6.0",1.42338709677421,0.537867199192873,184,2.64635415379512,0.0239045087803207,"dpf"
"RCP 2.6 - RCP 8.5",5.50806451612904,0.537867199192873,184,10.2405659322496,3.68594044175552e-14,"dpf"
"RCP 6.0 - RCP 8.5",4.08467741935483,0.537867199192873,184,7.59421177845447,4.56601423337588e-12,"dpf"
"overall",NA,NA,NA,NA,7.33941629085335e-20,"dpf"
