"trait","scenario","intercept","slope","R2","ci.lower","ci.upper"
"spawn","RCP 2.6",-22.545,0.012,0.189,0.007,0.017
"spawn","RCP 6.0",-80.015,0.04,0.714,0.035,0.046
"spawn","RCP 8.5",-139.331,0.07,0.891,0.065,0.075
"hatch","RCP 2.6",31.63,-0.017,0.036,-0.035,0.001
"hatch","RCP 6.0",145.429,-0.073,0.445,-0.09,-0.056
"hatch","RCP 8.5",326.58,-0.163,0.773,-0.181,-0.144
"hatchdays","RCP 2.6",0,0,NA,0,0
"hatchdays","RCP 6.0",0,0,NA,0,0
"hatchdays","RCP 8.5",0,0,NA,0,0
"dpf","RCP 2.6",54.177,-0.029,0.089,-0.049,-0.01
"dpf","RCP 6.0",225.446,-0.113,0.663,-0.13,-0.096
"dpf","RCP 8.5",465.913,-0.232,0.87,-0.251,-0.214
