"contrast","estimate","SE","df","t.ratio","p.value","trait"
"RCP 2.6 - RCP 6.0",-1.32795698924732,0.579846854528822,184,-2.2901857255506,0.0596815996885752,"spawn"
"RCP 2.6 - RCP 8.5",-5.56451612903226,0.579846854528822,184,-9.59652723054596,3.78586051397178e-14,"spawn"
"RCP 6.0 - RCP 8.5",-4.23655913978494,0.579846854528822,184,-7.30634150499536,2.42544873074735e-11,"spawn"
"overall",NA,NA,NA,NA,3.89398553632272e-18,"spawn"
"RCP 2.6 - RCP 6.0",1.32270763883668,0.543826180616673,184,2.4322250122949,0.0420273079884982,"hatch"
"RCP 2.6 - RCP 8.5",4.51081261050426,0.543826180616673,184,8.29458523933,1.07358566481253e-13,"hatch"
"RCP 6.0 - RCP 8.5",3.18810497166759,0.543826180616673,184,5.8623602270351,6.2105566467352e-08,"hatch"
"overall",NA,NA,NA,NA,4.92744920023741e-14,"hatch"
"overall",NA,NA,NA,NA,0.632124863619287,"hatchdays"
"RCP 2.6 - RCP 6.0",2.65066462808399,0.914808144959844,184,2.89750877567924,0.0116946847604893,"dpf"
"RCP 2.6 - RCP 8.5",10.0753287395365,0.914808144959843,184,11.0135975450664,2.55351295663786e-14,"dpf"
"RCP 6.0 - RCP 8.5",7.42466411145253,0.914808144959844,184,8.1160887693872,2.40585329436271e-13,"dpf"
"overall",NA,NA,NA,NA,3.96045579323139e-22,"dpf"
