"trait","scenario","intercept","slope","R2","ci.lower","ci.upper"
"spawn","RCP 2.6",-66.445,0.036,0.104,0.014,0.058
"spawn","RCP 6.0",-254.605,0.129,0.53,0.103,0.154
"spawn","RCP 8.5",-449.429,0.226,0.804,0.202,0.249
"hatch","RCP 2.6",30.414,-0.018,0.03,-0.039,0.003
"hatch","RCP 6.0",232.267,-0.117,0.548,-0.139,-0.095
"hatch","RCP 8.5",371.481,-0.186,0.739,-0.209,-0.163
"hatchdays","RCP 2.6",-3.154,0.001,0,-0.009,0.011
"hatchdays","RCP 6.0",24.722,-0.013,0.068,-0.023,-0.003
"hatchdays","RCP 8.5",35.22,-0.018,0.096,-0.029,-0.006
"dpf","RCP 2.6",96.861,-0.054,0.14,-0.082,-0.026
"dpf","RCP 6.0",486.874,-0.245,0.76,-0.274,-0.216
"dpf","RCP 8.5",820.911,-0.411,0.883,-0.443,-0.38
