"contrast","estimate","SE","df","t.ratio","p.value","trait"
"RCP 2.6 - RCP 6.0",-2.10215053763442,0.57479656389351,184,-3.65720790568936,0.000966454414673801,"spawn"
"RCP 2.6 - RCP 8.5",-6.06989247311829,0.57479656389351,184,-10.5600709092667,3.31956684362922e-14,"spawn"
"RCP 6.0 - RCP 8.5",-3.96774193548387,0.57479656389351,184,-6.9028630035773,2.39608111129996e-10,"spawn"
"overall",NA,NA,NA,NA,3.96229007789112e-20,"spawn"
"RCP 2.6 - RCP 6.0",0.690887793947575,0.438802380233597,184,1.57448506450622,0.259269816644752,"hatch"
"RCP 2.6 - RCP 8.5",2.92669884826457,0.438802380233596,184,6.66974241731903,8.71456795614733e-10,"hatch"
"RCP 6.0 - RCP 8.5",2.235811054317,0.438802380233597,184,5.09525735281281,2.56437938084275e-06,"hatch"
"overall",NA,NA,NA,NA,4.28702381498188e-10,"hatch"
"RCP 2.6 - RCP 6.0",2.79303833158199,0.808002252860122,184,3.45672097038758,0.00195494962545228,"dpf"
"RCP 2.6 - RCP 8.5",8.99659132138285,0.808002252860122,184,11.1343641549726,2.36477504245158e-14,"dpf"
"RCP 6.0 - RCP 8.5",6.20355298980086,0.808002252860122,184,7.67764318458502,2.80686585085732e-12,"dpf"
"overall",NA,NA,NA,NA,4.5374338179377e-22,"dpf"
