"trait","scenario","intercept","slope","R2","ci.lower","ci.upper"
"spawn","RCP 2.6",-124.626,0.065,0.193,0.038,0.093
"spawn","RCP 6.0",-318.237,0.161,0.683,0.138,0.183
"spawn","RCP 8.5",-559.007,0.28,0.859,0.257,0.304
"hatch","RCP 2.6",-61.174,0.031,0.078,0.009,0.053
"hatch","RCP 6.0",-63.396,0.032,0.115,0.014,0.051
"hatch","RCP 8.5",7.283,-0.002,0,-0.024,0.02
"hatchdays","RCP 2.6",-1.56,0,0,-0.015,0.016
"hatchdays","RCP 6.0",36.957,-0.019,0.045,-0.037,-0.001
"hatchdays","RCP 8.5",36.45,-0.018,0.07,-0.032,-0.004
"dpf","RCP 2.6",63.481,-0.034,0.088,-0.057,-0.011
"dpf","RCP 6.0",255.42,-0.129,0.593,-0.151,-0.106
"dpf","RCP 8.5",570.262,-0.285,0.824,-0.312,-0.257
