date,layer.name,layer.depth_m,layer.temp_c
1/1/81,surface,1,8.693
1/1/81,cline_top,2.5,8.7045
1/1/81,cline_bottom,26.5,8.7715
1/1/81,bottom,45.5,8.6835
1/2/81,surface,1,8.693
1/2/81,cline_top,2.5,8.7045
1/2/81,cline_bottom,26.5,8.7715
1/2/81,bottom,45.5,8.6835
1/3/81,surface,1,8.693
1/3/81,cline_top,2.5,8.7045
1/3/81,cline_bottom,26.5,8.7715
1/3/81,bottom,45.5,8.6835
1/4/81,surface,1,8.693
1/4/81,cline_top,2.5,8.7045
1/4/81,cline_bottom,26.5,8.7715
1/4/81,bottom,45.5,8.6835
1/5/81,surface,1,8.693
1/5/81,cline_top,2.5,8.7045
1/5/81,cline_bottom,26.5,8.7715
1/5/81,bottom,45.5,8.6835
1/6/81,surface,1,8.693
1/6/81,cline_top,2.5,8.7045
1/6/81,cline_bottom,26.5,8.7715
1/6/81,bottom,45.5,8.6835
1/7/81,surface,1,8.693
1/7/81,cline_top,2.5,8.7045
1/7/81,cline_bottom,26.5,8.7715
1/7/81,bottom,45.5,8.6835
1/8/81,surface,1,8.693
1/8/81,cline_top,2.5,8.7045
1/8/81,cline_bottom,26.5,8.7715
1/8/81,bottom,45.5,8.6835
1/9/81,surface,1,8.693
1/9/81,cline_top,2.5,8.7045
1/9/81,cline_bottom,26.5,8.7715
1/9/81,bottom,45.5,8.6835
1/10/81,surface,1,8.693
1/10/81,cline_top,2.5,8.7045
1/10/81,cline_bottom,26.5,8.7715
1/10/81,bottom,45.5,8.6835
1/11/81,surface,1,8.693
1/11/81,cline_top,2.5,8.7045
1/11/81,cline_bottom,26.5,8.7715
1/11/81,bottom,45.5,8.6835
1/12/81,surface,1,8.693
1/12/81,cline_top,2.5,8.7045
1/12/81,cline_bottom,26.5,8.7715
1/12/81,bottom,45.5,8.6835
1/13/81,surface,1,8.693
1/13/81,cline_top,2.5,8.7045
1/13/81,cline_bottom,26.5,8.7715
1/13/81,bottom,45.5,8.6835
1/14/81,surface,1,8.693
1/14/81,cline_top,2.5,8.7045
1/14/81,cline_bottom,26.5,8.7715
1/14/81,bottom,45.5,8.6835
1/15/81,surface,1,8.693
1/15/81,cline_top,2.5,8.7045
1/15/81,cline_bottom,26.5,8.7715
1/15/81,bottom,45.5,8.6835
1/16/81,surface,1,8.693
1/16/81,cline_top,2.5,8.7045
1/16/81,cline_bottom,26.5,8.7715
1/16/81,bottom,45.5,8.6835
1/17/81,surface,1,8.693
1/17/81,cline_top,2.5,8.7045
1/17/81,cline_bottom,26.5,8.7715
1/17/81,bottom,45.5,8.6835
1/18/81,surface,1,8.693
1/18/81,cline_top,2.5,8.7045
1/18/81,cline_bottom,26.5,8.7715
