"date","scenario","temp_c","year","month","day","yday","spawn.yday"
1899-11-01,"Historical",10.1071590909091,1899,11,1,305,338.3
1900-10-28,"Historical",9.98795454545455,1900,10,28,301,337.26
1901-11-03,"Historical",10.0709090909091,1901,11,3,307,338.82
1902-10-28,"Historical",9.97954545454546,1902,10,28,301,337.26
1903-10-27,"Historical",10.0663636363636,1903,10,27,300,337
1904-10-30,"Historical",10.0234090909091,1904,10,30,304,338.04
1905-10-30,"Historical",10.0711363636364,1905,10,30,303,337.78
1906-10-30,"Historical",10.0895454545455,1906,10,30,303,337.78
1907-10-31,"Historical",9.95181818181818,1907,10,31,304,338.04
1908-10-26,"Historical",10.0359090909091,1908,10,26,300,337
1909-10-29,"Historical",10.0778409090909,1909,10,29,302,337.52
1910-10-29,"Historical",10.0002272727273,1910,10,29,302,337.52
1911-11-03,"Historical",9.97318181818182,1911,11,3,307,338.82
1912-10-24,"Historical",9.94068181818182,1912,10,24,298,336.48
1913-10-25,"Historical",10.0636363636364,1913,10,25,298,336.48
1914-10-30,"Historical",10.04625,1914,10,30,303,337.78
1915-10-26,"Historical",10.0159090909091,1915,10,26,299,336.74
1916-10-28,"Historical",9.99022727272727,1916,10,28,302,337.52
1917-11-06,"Historical",9.97806818181818,1917,11,6,310,339.6
1918-11-02,"Historical",9.95363636363636,1918,11,2,306,338.56
1919-11-03,"Historical",10.0907954545455,1919,11,3,307,338.82
1920-10-29,"Historical",10.0802272727273,1920,10,29,303,337.78
1921-10-30,"Historical",9.96636363636364,1921,10,30,303,337.78
1922-11-01,"Historical",9.94125,1922,11,1,305,338.3
1923-10-24,"Historical",9.97409090909091,1923,10,24,297,336.22
1924-10-30,"Historical",10.0347727272727,1924,10,30,304,338.04
1925-11-05,"Historical",9.92056818181818,1925,11,5,309,339.34
1926-10-31,"Historical",9.93590909090909,1926,10,31,304,338.04
1927-11-02,"Historical",9.95852272727273,1927,11,2,306,338.56
1928-11-03,"Historical",10.035,1928,11,3,308,339.08
1929-10-29,"Historical",9.92386363636364,1929,10,29,302,337.52
1930-10-22,"Historical",10.0234090909091,1930,10,22,295,335.7
1931-11-02,"Historical",10.0161363636364,1931,11,2,306,338.56
1932-11-07,"Historical",9.96511363636364,1932,11,7,312,340.12
1933-10-28,"Historical",10.0805681818182,1933,10,28,301,337.26
1934-11-01,"Historical",9.91681818181818,1934,11,1,305,338.3
1935-10-31,"Historical",9.96056818181818,1935,10,31,304,338.04
1936-10-27,"Historical",9.98602272727273,1936,10,27,301,337.26
1937-10-30,"Historical",10.0613636363636,1937,10,30,303,337.78
1938-10-31,"Historical",9.97590909090909,1938,10,31,304,338.04
1939-11-03,"Historical",9.98681818181818,1939,11,3,307,338.82
1940-10-31,"Historical",9.90636363636364,1940,10,31,305,338.3
1941-10-31,"Historical",10.0036363636364,1941,10,31,304,338.04
1942-10-30,"Historical",9.98125,1942,10,30,303,337.78
1943-11-02,"Historical",10.0157954545455,1943,11,2,306,338.56
1944-10-28,"Historical",9.88909090909091,1944,10,28,302,337.52
1945-10-27,"Historical",9.92215909090909,1945,10,27,300,337
1946-11-03,"Historical",9.99568181818182,1946,11,3,307,338.82
1947-11-04,"Historical",10.0267045454545,1947,11,4,308,339.08
1948-10-30,"Historical",10.0806818181818,1948,10,30,304,338.04
1949-11-01,"Historical",9.98568181818182,1949,11,1,305,338.3
1950-11-04,"Historical",9.92125,1950,11,4,308,339.08
1951-11-04,"Historical",10.0968181818182,1951,11,4,308,339.08
1952-10-26,"Historical",9.93806818181818,1952,10,26,300,337
1953-11-01,"Historical",10.0005681818182,1953,11,1,305,338.3
1954-11-05,"Historical",10.0497727272727,1954,11,5,309,339.34
1955-10-29,"Historical",9.94988636363636,1955,10,29,302,337.52
1956-11-01,"Historical",10.0052272727273,1956,11,1,306,338.56
1957-10-30,"Historical",9.96943181818182,1957,10,30,303,337.78
1958-11-02,"Historical",10.0560227272727,1958,11,2,306,338.56
1959-10-30,"Historical",9.96340909090909,1959,10,30,303,337.78
1960-10-23,"Historical",10.0107954545455,1960,10,23,297,336.22
1961-11-01,"Historical",9.95534090909091,1961,11,1,305,338.3
1962-11-01,"Historical",10.0229545454545,1962,11,1,305,338.3
