"datetime","depth_m","temp_c","year","month","day","yday","spawn.yday"
1981-11-08,10,10.055,1981,11,8,312,340.12
1982-11-16,10,9.981,1982,11,16,320,342.2
1983-11-10,10,10.048,1983,11,10,314,340.64
1984-11-12,10,9.994,1984,11,12,317,341.42
1985-11-11,10,10.108,1985,11,11,315,340.9
1986-11-07,10,9.947,1986,11,7,311,339.86
1987-11-18,10,10.067,1987,11,18,322,342.72
1988-11-16,10,10.008,1988,11,16,321,342.46
1989-11-17,10,9.991,1989,11,17,321,342.46
1990-11-16,10,9.989,1990,11,16,320,342.2
1991-11-11,10,9.949,1991,11,11,315,340.9
1992-11-04,10,9.999,1992,11,4,309,339.34
1993-10-28,10,9.962,1993,10,28,301,337.26
1994-11-11,10,9.996,1994,11,11,315,340.9
1995-11-10,10,9.951,1995,11,10,314,340.64
1996-11-06,10,10.026,1996,11,6,311,339.86
1997-11-05,10,9.958,1997,11,5,309,339.34
1998-11-05,10,9.949,1998,11,5,309,339.34
1999-11-10,10,10.065,1999,11,10,314,340.64
2000-11-07,10,9.987,2000,11,7,312,340.12
2001-11-13,10,10.072,2001,11,13,317,341.42
2002-11-06,10,9.989,2002,11,6,310,339.6
2003-11-01,10,10.017,2003,11,1,305,338.3
2004-11-13,10,10.104,2004,11,13,318,341.68
2005-11-18,10,10.084,2005,11,18,322,342.72
2006-11-20,10,10.01,2006,11,20,324,343.24
2007-11-10,10,9.845,2007,11,10,314,340.64
2008-11-13,10,9.987,2008,11,13,318,341.68
2009-11-15,10,9.982,2009,11,15,319,341.94
2010-11-09,10,9.988,2010,11,9,313,340.38
2011-11-12,10,9.983,2011,11,12,316,341.16
2012-11-12,10,10.017,2012,11,12,317,341.42
2013-11-12,10,10.004,2013,11,12,316,341.16
2014-11-26,10,9.998,2014,11,26,330,344.8
2015-11-26,10,9.934,2015,11,26,330,344.8
2016-11-21,10,10.032,2016,11,21,326,343.76
2017-11-18,10,10.05,2017,11,18,322,342.72
2018-11-22,10,9.951,2018,11,22,326,343.76
2019-11-24,10,10.03,2019,11,24,328,344.28
2020-11-22,10,9.976,2020,11,22,327,344.02
