"date","scenario","temp_c","year","month","day","yday"
1899-10-01,"Historical",15.4491666666667,1899,10,1,274
1899-10-02,"Historical",15.2855303030303,1899,10,2,275
1899-10-03,"Historical",15.1349242424242,1899,10,3,276
1899-10-04,"Historical",14.9593939393939,1899,10,4,277
1899-10-05,"Historical",14.7870454545455,1899,10,5,278
1899-10-06,"Historical",14.6168181818182,1899,10,6,279
1899-10-07,"Historical",14.4568181818182,1899,10,7,280
1899-10-08,"Historical",14.3106818181818,1899,10,8,281
1899-10-09,"Historical",14.1722727272727,1899,10,9,282
1899-10-10,"Historical",14.0474242424242,1899,10,10,283
1899-10-11,"Historical",13.9260606060606,1899,10,11,284
1899-10-12,"Historical",13.8399242424242,1899,10,12,285
1899-10-13,"Historical",13.6986363636364,1899,10,13,286
1899-10-14,"Historical",13.5459090909091,1899,10,14,287
1899-10-15,"Historical",13.3718181818182,1899,10,15,288
1899-10-16,"Historical",13.2277272727273,1899,10,16,289
1899-10-17,"Historical",13.0975,1899,10,17,290
1899-10-18,"Historical",12.962803030303,1899,10,18,291
1899-10-19,"Historical",12.8090151515152,1899,10,19,292
1899-10-20,"Historical",12.6153787878788,1899,10,20,293
1899-10-21,"Historical",12.4362878787879,1899,10,21,294
1899-10-22,"Historical",12.2708333333333,1899,10,22,295
1899-10-23,"Historical",12.0981818181818,1899,10,23,296
1899-10-24,"Historical",11.9352272727273,1899,10,24,297
1899-10-25,"Historical",11.7784848484848,1899,10,25,298
1899-10-26,"Historical",11.6189393939394,1899,10,26,299
1899-10-27,"Historical",11.4237121212121,1899,10,27,300
1899-10-28,"Historical",11.2123484848485,1899,10,28,301
1899-10-29,"Historical",10.9916666666667,1899,10,29,302
1899-10-30,"Historical",10.7555303030303,1899,10,30,303
1899-10-31,"Historical",10.5239393939394,1899,10,31,304
1899-11-01,"Historical",10.3162878787879,1899,11,1,305
1899-11-02,"Historical",10.1191666666667,1899,11,2,306
1899-11-03,"Historical",9.93666666666667,1899,11,3,307
1899-11-04,"Historical",9.73977272727273,1899,11,4,308
1899-11-05,"Historical",9.59537878787879,1899,11,5,309
1899-11-06,"Historical",9.44280303030303,1899,11,6,310
1899-11-07,"Historical",9.28924242424242,1899,11,7,311
1899-11-08,"Historical",9.11606060606061,1899,11,8,312
1899-11-09,"Historical",8.96325757575758,1899,11,9,313
1899-11-10,"Historical",8.80151515151515,1899,11,10,314
1899-11-11,"Historical",8.65030303030303,1899,11,11,315
1899-11-12,"Historical",8.48022727272727,1899,11,12,316
1899-11-13,"Historical",8.27613636363636,1899,11,13,317
1899-11-14,"Historical",8.08598484848485,1899,11,14,318
1899-11-15,"Historical",7.92295454545455,1899,11,15,319
1899-11-16,"Historical",7.80106060606061,1899,11,16,320
1899-11-17,"Historical",7.59962121212121,1899,11,17,321
1899-11-18,"Historical",7.39136363636364,1899,11,18,322
1899-11-19,"Historical",7.17416666666667,1899,11,19,323
1899-11-20,"Historical",6.97962121212121,1899,11,20,324
1899-11-21,"Historical",6.78431818181818,1899,11,21,325
1899-11-22,"Historical",6.62075757575758,1899,11,22,326
1899-11-23,"Historical",6.47689393939394,1899,11,23,327
1899-11-24,"Historical",6.31333333333333,1899,11,24,328
1899-11-25,"Historical",6.16075757575758,1899,11,25,329
1899-11-26,"Historical",6.01060606060606,1899,11,26,330
1899-11-27,"Historical",5.86507575757576,1899,11,27,331
1899-11-28,"Historical",5.74401515151515,1899,11,28,332
1899-11-29,"Historical",5.63204545454545,1899,11,29,333
1899-11-30,"Historical",5.54151515151515,1899,11,30,334
1899-12-01,"Historical",5.43348484848485,1899,12,1,335
1899-12-02,"Historical",5.31075757575758,1899,12,2,336
1899-12-03,"Historical",5.19174242424242,1899,12,3,337
1899-12-04,"Historical",5.0669696969697,1899,12,4,338
1899-12-05,"Historical",4.98159090909091,1899,12,5,339
1899-12-06,"Historical",4.89787878787879,1899,12,6,340
1899-12-07,"Historical",4.81613636363636,1899,12,7,341
1899-12-08,"Historical",4.72462121212121,1899,12,8,342
1899-12-09,"Historical",4.63083333333333,1899,12,9,343
1899-12-10,"Historical",4.54363636363636,1899,12,10,344
1899-12-11,"Historical",4.48113636363636,1899,12,11,345
1899-12-12,"Historical",4.41401515151515,1899,12,12,346
1899-12-13,"Historical",4.34583333333333,1899,12,13,347
1899-12-14,"Historical",4.28628787878788,1899,12,14,348
1899-12-15,"Historical",4.2319696969697,1899,12,15,349
1899-12-16,"Historical",4.1705303030303,1899,12,16,350
1899-12-17,"Historical",4.09166666666667,1899,12,17,351
1899-12-18,"Historical",3.98704545454545,1899,12,18,352
1899-12-19,"Historical",3.86833333333333,1899,12,19,353
1899-12-20,"Historical",3.79227272727273,1899,12,20,354
1899-12-21,"Historical",3.72106060606061,1899,12,21,355
1899-12-22,"Historical",3.62484848484848,1899,12,22,356
1899-12-23,"Historical",3.52962121212121,1899,12,23,357
1899-12-24,"Historical",3.44424242424242,1899,12,24,358
1899-12-25,"Historical",3.36795454545455,1899,12,25,359
1899-12-26,"Historical",3.29515151515151,1899,12,26,360
1899-12-27,"Historical",3.27477272727273,1899,12,27,361
1899-12-28,"Historical",3.26098484848485,1899,12,28,362
1899-12-29,"Historical",3.23128787878788,1899,12,29,363
