"date","layer.name","layer.depth_m","layer.temp_c"
1981-01-01,"surface",0,5.182
1981-01-01,"cline_top",28.5,5.2385
1981-01-01,"cline_bottom",125.5,4.644
1981-01-01,"bottom",148.5,4.6035
1981-01-02,"surface",0,5.075
1981-01-02,"cline_top",15.5,5.1445
1981-01-02,"cline_bottom",57.5,5.133
1981-01-02,"bottom",148.5,4.6075
1981-01-03,"surface",0,5.089
1981-01-03,"cline_top",39.5,5.13
1981-01-03,"cline_bottom",130.5,4.646
1981-01-03,"bottom",148.5,4.6145
1981-01-04,"surface",0,5.059
1981-01-04,"cline_top",51.5,5.0575
1981-01-04,"cline_bottom",127.5,4.6925
1981-01-04,"bottom",148.5,4.634
1981-01-05,"surface",0,4.924
1981-01-05,"cline_top",1.5,4.9455
1981-01-05,"cline_bottom",40.5,5.0375
1981-01-05,"bottom",148.5,4.6645
1981-01-06,"surface",0,4.839
1981-01-06,"cline_top",1.5,4.857
1981-01-06,"cline_bottom",51.5,4.977
1981-01-06,"bottom",148.5,4.6945
1981-01-07,"surface",0,4.777
1981-01-07,"cline_top",1.5,4.803
1981-01-07,"cline_bottom",54.5,4.932
1981-01-07,"bottom",148.5,4.7195
1981-01-08,"surface",0,4.675
1981-01-08,"cline_top",1.5,4.711
1981-01-08,"cline_bottom",61.5,4.896
1981-01-08,"bottom",148.5,4.738
1981-01-09,"surface",0,4.616
1981-01-09,"cline_top",1.5,4.6515
1981-01-09,"cline_bottom",73.5,4.8625
1981-01-09,"bottom",148.5,4.751
1981-01-10,"surface",0,4.602
1981-01-10,"cline_top",1.5,4.627
1981-01-10,"cline_bottom",84.5,4.8345
1981-01-10,"bottom",148.5,4.759
1981-01-11,"surface",0,4.592
1981-01-11,"cline_top",1.5,4.612
1981-01-11,"cline_bottom",88.5,4.8095
1981-01-11,"bottom",148.5,4.764
1981-01-12,"surface",0,4.542
1981-01-12,"cline_top",1.5,4.569
1981-01-12,"cline_bottom",88.5,4.7855
1981-01-12,"bottom",148.5,4.7655
1981-01-13,"surface",0,4.53
1981-01-13,"cline_top",2.5,4.562
1981-01-13,"cline_bottom",92.5,4.7665
1981-01-13,"bottom",148.5,4.7655
1981-01-14,"surface",0,4.443
1981-01-14,"cline_top",1.5,4.4785
1981-01-14,"cline_bottom",66.5,4.703
1981-01-14,"bottom",148.5,4.763
1981-01-15,"surface",0,4.49
1981-01-15,"cline_top",3.5,4.509
1981-01-15,"cline_bottom",101.5,4.7355
1981-01-15,"bottom",148.5,4.759
1981-01-16,"surface",0,4.393
1981-01-16,"cline_top",1.5,4.4215
1981-01-16,"cline_bottom",65.5,4.653
1981-01-16,"bottom",148.5,4.753
1981-01-17,"surface",0,4.397
1981-01-17,"cline_top",1.5,4.4145
1981-01-17,"cline_bottom",82.5,4.664
1981-01-17,"bottom",148.5,4.747
1981-01-18,"surface",0,4.398
1981-01-18,"cline_top",1.5,4.4135
1981-01-18,"cline_bottom",78.5,4.635
1981-01-18,"bottom",148.5,4.7385
1981-01-19,"surface",0,4.356
1981-01-19,"cline_top",1.5,4.3755
1981-01-19,"cline_bottom",68.5,4.5975
1981-01-19,"bottom",148.5,4.7265
1981-01-20,"surface",0,4.338
1981-01-20,"cline_top",1.5,4.361
1981-01-20,"cline_bottom",62.5,4.5595
1981-01-20,"bottom",148.5,4.7135
1981-01-21,"surface",0,4.291
1981-01-21,"cline_top",1.5,4.3225
1981-01-21,"cline_bottom",36.5,4.4695
1981-01-21,"bottom",148.5,4.7015
1981-01-22,"surface",0,4.314
1981-01-22,"cline_top",1.5,4.3355
1981-01-22,"cline_bottom",49.5,4.477
1981-01-22,"bottom",148.5,4.6775
1981-01-23,"surface",0,4.339
1981-01-23,"cline_top",1.5,4.3505
1981-01-23,"cline_bottom",86.5,4.5205
1981-01-23,"bottom",148.5,4.63
1981-01-24,"surface",0,4.315
1981-01-24,"cline_top",1.5,4.3255
1981-01-24,"cline_bottom",21.5,4.371
1981-01-24,"bottom",148.5,4.5895
1981-01-25,"surface",0,4.293
1981-01-25,"cline_top",1.5,4.3025
1981-01-25,"cline_bottom",17.5,4.338
1981-01-25,"bottom",148.5,4.554
1981-01-26,"surface",0,4.318
1981-01-26,"cline_top",1.5,4.3265
1981-01-26,"cline_bottom",28.5,4.3475
1981-01-26,"bottom",148.5,4.5245
1981-01-27,"surface",0,4.295
1981-01-27,"cline_top",1.5,4.309
1981-01-27,"cline_bottom",93.5,4.4295
1981-01-27,"bottom",148.5,4.506
1981-01-28,"surface",0,4.267
1981-01-28,"cline_top",1.5,4.2775
1981-01-28,"cline_bottom",23.5,4.321
1981-01-28,"bottom",148.5,4.4855
1981-01-29,"surface",0,4.225
1981-01-29,"cline_top",1.5,4.238
1981-01-29,"cline_bottom",34.5,4.31
1981-01-29,"bottom",148.5,4.4645
1981-01-30,"surface",0,4.19
1981-01-30,"cline_top",1.5,4.2035
1981-01-30,"cline_bottom",48.5,4.302
1981-01-30,"bottom",148.5,4.443
1981-01-31,"surface",0,4.16
1981-01-31,"cline_top",1.5,4.1735
1981-01-31,"cline_bottom",46.5,4.27
1981-01-31,"bottom",148.5,4.4205
1981-02-01,"surface",0,4.14
1981-02-01,"cline_top",1.5,4.151
1981-02-01,"cline_bottom",45.5,4.243
1981-02-01,"bottom",148.5,4.3985
1981-02-02,"surface",0,4.109
1981-02-02,"cline_top",1.5,4.127
1981-02-02,"cline_bottom",30.5,4.194
1981-02-02,"bottom",148.5,4.3785
1981-02-03,"surface",0,4.098
1981-02-03,"cline_top",1.5,4.109
1981-02-03,"cline_bottom",65.5,4.238
1981-02-03,"bottom",148.5,4.361
1981-02-04,"surface",0,4.116
