date,mature,ripe,spent,prop.ripe
11/11/04,14,0,0,0
11/13/04,15,0,1,0
11/14/04,15,0,0,0
11/15/04,17,0,0,0
11/16/04,10,0,0,0
11/17/04,16,0,0,0
11/18/04,19,0,0,0
11/19/04,19,1,0,0.05
11/20/04,14,0,0,0
11/21/04,14,0,0,0
11/22/04,8,1,0,0.111111111
11/23/04,2,0,0,0
11/24/04,13,0,1,0
11/25/04,20,1,1,0.045454545
11/26/04,10,0,1,0
11/27/04,28,0,0,0
11/28/04,25,0,1,0
11/29/04,30,2,0,0.0625
11/30/04,35,1,1,0.027027027
12/11/04,15,0,0,0
11/11/05,17,0,0,0
11/13/05,11,0,0,0
11/14/05,9,0,0,0
11/15/05,13,0,0,0
11/16/05,8,0,0,0
11/17/05,15,0,0,0
11/18/05,14,0,0,0
11/19/05,8,0,0,0
11/20/05,14,0,0,0
11/21/05,4,0,0,0
11/22/05,6,0,0,0
11/23/05,10,0,0,0
11/25/05,13,0,0,0
11/26/05,3,0,0,0
11/27/05,9,0,1,0
11/29/05,5,0,0,0
12/11/05,20,0,0,0
11/11/06,21,0,0,0
11/13/06,22,0,1,0
11/14/06,12,0,0,0
11/15/06,19,0,0,0
11/16/06,23,0,0,0
11/17/06,21,0,0,0
11/18/06,23,0,0,0
11/19/06,15,0,2,0
11/20/06,23,0,0,0
11/21/06,13,0,0,0
11/22/06,10,0,0,0
11/23/06,13,0,0,0
11/24/06,10,0,0,0
11/25/06,11,0,0,0
11/26/06,10,0,0,0
11/27/06,6,1,0,0.142857143
11/28/06,3,1,0,0.25
11/29/06,7,0,0,0
12/11/06,14,0,0,0
11/11/07,9,0,0,0
11/13/07,12,0,0,0
11/14/07,9,0,0,0
11/15/07,13,0,0,0
11/16/07,11,0,1,0
11/17/07,3,0,0,0
11/18/07,10,0,0,0
11/19/07,11,0,0,0
11/20/07,10,0,0,0
11/21/07,12,0,0,0
11/22/07,9,0,0,0
11/23/07,13,2,0,0.133333333
11/24/07,9,2,0,0.181818182
11/25/07,13,0,0,0
11/26/07,6,1,0,0.142857143
11/27/07,13,4,0,0.235294118
11/28/07,9,0,1,0
11/29/07,3,1,0,0.25
11/30/07,7,0,0,0
12/11/07,14,0,0,0
11/11/08,10,0,0,0
11/13/08,30,0,0,0
11/14/08,30,0,0,0
11/15/08,9,0,0,0
11/16/08,20,0,0,0
11/17/08,29,0,0,0
11/18/08,30,0,0,0
11/19/08,29,0,0,0
11/20/08,38,0,0,0
11/21/08,20,0,0,0
11/22/08,30,0,0,0
11/23/08,30,0,0,0
11/24/08,29,1,0,0.033333333
11/25/08,20,0,0,0
11/26/08,20,0,0,0
11/27/08,18,2,0,0.1
11/28/08,18,2,0,0.1
11/29/08,10,0,0,0
11/30/08,20,0,0,0
12/11/08,30,0,0,0
11/11/09,29,0,0,0
11/13/09,20,0,0,0
11/14/09,20,0,0,0
11/15/09,30,0,0,0
11/16/09,20,0,0,0
11/17/09,30,0,0,0
11/18/09,29,0,0,0
11/19/09,20,0,0,0
11/20/09,30,0,0,0
11/21/09,18,0,0,0
11/22/09,29,1,0,0.033333333
11/23/09,19,0,0,0
11/24/09,9,1,0,0.1
11/25/09,16,4,0,0.2
11/26/09,20,0,0,0
11/27/09,20,0,0,0
11/28/09,10,0,0,0
11/29/09,9,0,0,0
12/11/09,20,0,0,0
11/2/10,5,0,0,0
11/3/10,3,0,0,0
11/4/10,1,0,0,0
11/5/10,8,0,0,0
11/6/10,5,0,0,0
11/7/10,5,0,0,0
11/8/10,16,0,0,0
11/9/10,9,0,0,0
11/10/10,12,0,0,0
11/11/10,13,0,0,0
11/12/10,7,0,0,0
11/13/10,14,0,0,0
11/14/10,7,0,0,0
11/16/10,12,0,0,0
11/17/10,15,0,0,0
11/18/10,14,0,0,0
11/19/10,3,0,0,0
11/20/10,9,0,0,0
11/21/10,11,0,0,0
11/22/10,4,0,0,0
11/23/10,16,0,0,0
11/24/10,7,0,0,0
11/25/10,4,0,0,0
11/26/10,4,0,0,0
11/27/10,11,0,0,0
11/11/11,19,0,0,0
11/13/11,30,0,0,0
11/14/11,40,0,0,0
11/15/11,20,0,0,0
11/16/11,28,0,0,0
11/17/11,30,0,0,0
11/18/11,19,0,0,0
11/19/11,30,0,0,0
11/20/11,20,0,0,0
11/21/11,19,0,0,0
11/22/11,20,0,0,0
11/23/11,20,0,0,0
11/24/11,10,0,0,0
11/25/11,10,0,0,0
11/26/11,10,0,0,0
