date,year,month,day,mean.sst
11/1/17,2017,11,1,6.993802083
11/2/17,2017,11,2,6.743864583
11/3/17,2017,11,3,6.81378125
11/4/17,2017,11,4,6.701375
11/5/17,2017,11,5,6.538270833
11/6/17,2017,11,6,6.411822917
11/7/17,2017,11,7,6.295802083
11/8/17,2017,11,8,6.085802083
11/9/17,2017,11,9,5.870739583
11/10/17,2017,11,10,5.277708333
11/11/17,2017,11,11,5.586791667
11/12/17,2017,11,12,5.633427083
11/13/17,2017,11,13,5.48159375
11/14/17,2017,11,14,5.361770833
11/15/17,2017,11,15,5.23078125
11/16/17,2017,11,16,5.144197917
11/17/17,2017,11,17,4.73540625
11/18/17,2017,11,18,5.061666667
11/19/17,2017,11,19,4.716333333
11/20/17,2017,11,20,4.5035625
11/21/17,2017,11,21,4.3816875
11/22/17,2017,11,22,4.241708333
11/23/17,2017,11,23,4.073427083
11/24/17,2017,11,24,4.17946875
11/25/17,2017,11,25,4.047260417
11/26/17,2017,11,26,3.905729167
11/27/17,2017,11,27,4.03075
11/28/17,2017,11,28,3.860635417
11/29/17,2017,11,29,3.77678125
11/30/17,2017,11,30,3.863875
12/1/17,2017,12,1,4.025927083
12/2/17,2017,12,2,4.1093125
12/3/17,2017,12,3,3.977760417
12/4/17,2017,12,4,3.91671875
12/5/17,2017,12,5,3.648770833
12/6/17,2017,12,6,3.401947917
12/7/17,2017,12,7,3.154489583
12/8/17,2017,12,8,2.5881875
12/9/17,2017,12,9,2.40228125
12/10/17,2017,12,10,2.62640625
12/11/17,2017,12,11,2.086302083
12/12/17,2017,12,12,1.896125
12/13/17,2017,12,13,1.43828125
12/14/17,2017,12,14,1.63896875
12/15/17,2017,12,15,1.47159375
12/16/17,2017,12,16,0.965520833
12/17/17,2017,12,17,0.8220625
12/18/17,2017,12,18,1.17071875
12/19/17,2017,12,19,1.122052083
12/20/17,2017,12,20,1.413125
12/21/17,2017,12,21,1.937760417
12/22/17,2017,12,22,1.0678125
12/23/17,2017,12,23,1.1589375
12/24/17,2017,12,24,1.087333333
12/25/17,2017,12,25,1.00209375
12/26/17,2017,12,26,0.0681875
12/27/17,2017,12,27,0.02634375
12/28/17,2017,12,28,0.385885417
12/29/17,2017,12,29,0.3384375
12/30/17,2017,12,30,0.020854167
12/31/17,2017,12,31,0.118958333
1/1/18,2018,1,1,0.126895833
1/2/18,2018,1,2,0.0853125
1/3/18,2018,1,3,0.068614583
1/4/18,2018,1,4,0.090375
1/5/18,2018,1,5,0.111666667
1/6/18,2018,1,6,0.164354167
1/7/18,2018,1,7,0.084104167
1/8/18,2018,1,8,0.117166667
1/9/18,2018,1,9,0.086875
1/10/18,2018,1,10,0.142614583
1/11/18,2018,1,11,0.092125
1/12/18,2018,1,12,0.079583333
1/13/18,2018,1,13,0.0755
1/14/18,2018,1,14,0.0166875
1/15/18,2018,1,15,0.079
1/16/18,2018,1,16,0.057510417
1/17/18,2018,1,17,0.01
1/18/18,2018,1,18,0.018458333
