lake,lakeArea,crew,vessel,dateSample,timeOnSite,siteSample,siteTarget,waypointSample,latitude,longitude,coordUnit,coordSource,depthSite,depthUnit,depthSource,temp_C,tempSource
Superior,ThunderBay,MP.DY.EB.PD,Kingfisher,4/18/2017,8:52,STH17001,2,675,48.48416,-89.08543,dd,boat,5,m,boat,1.6,YSI550A
Superior,ThunderBay,MP.DY.EB.PD,Kingfisher,4/18/2017,9:06,STH17002,1,NA,48.48508,-89.08577,dd,boat,2,m,boat,1.6,YSI550A
Superior,ThunderBay,MP.DY.EB.PD,Kingfisher,4/18/2017,9:18,STH17003,NA,676,48.48368,-89.08543,dd,boat,6,m,boat,1.6,YSI550A
Superior,ThunderBay,MP.DY.EB.PD,Kingfisher,4/18/2017,10:39,STH17004,NA,677,48.48346,-89.08511,dd,boat,6,m,boat,1.6,YSI550A
Superior,ThunderBay,MP.DY.EB.PD,Kingfisher,4/18/2017,11:05,STH17005,NA,679,48.48305,-89.08459,dd,boat,6,m,boat,1.6,YSI550A
Superior,ThunderBay,MP.DY.EB.PD,Kingfisher,4/18/2017,11:39,STH17106,NA,680,48.48258,-89.0847,dd,boat,8,m,boat,1.6,YSI550A
Superior,ThunderBay,MP.DY.EB.PD,Kingfisher,4/18/2017,12:47,STH17006,NA,681,48.49529,-89.04967,dd,boat,7,m,boat,1.6,YSI550A
Superior,ThunderBay,MP.DY.EB.PD,Kingfisher,4/18/2017,12:58,STH17007,NA,NA,48.49512,-89.05026,dd,boat,6,m,boat,1.6,YSI550A
Superior,ThunderBay,MP.DY.EB.PD,Kingfisher,4/18/2017,13:40,STH17008,NA,684,48.49148,-89.04178,dd,boat,4,m,boat,1.6,YSI550A
Superior,ThunderBay,MP.DY.EB.PD,Kingfisher,4/18/2017,14:10,STH17009,NA,686,48.49075,-89.04097,dd,boat,10,m,boat,1.6,YSI550A
Superior,ThunderBay,MP.DY.EB.PD,Kingfisher,4/19/2017,9:12,STH17010,NA,687,48.47864,-89.08201,dd,boat,24,m,boat,1.7,YSI550A
Superior,ThunderBay,MP.DY.EB.PD,Kingfisher,4/19/2017,9:20,STH17011,NA,688,48.47852,-89.08218,dd,boat,24,m,boat,1.7,YSI550A
Superior,ThunderBay,MP.DY.EB.PD,Kingfisher,4/19/2017,12:20,STH17015,NA,NA,48.48886,-89.03554,dd,boat,15,m,boat,1.7,YSI550A
Superior,ThunderBay,MP.DY.EB.PD,Kingfisher,4/19/2017,13:13,STH17017,NA,NA,48.48924,-89.03712,dd,boat,3,m,boat,2.3,YSI550A
Superior,ThunderBay,MP.DY.EB.PD,Kingfisher,4/19/2017,13:45,STH17018,NA,NA,48.4897,-89.03787,dd,boat,12,m,boat,1.8,YSI550A
Superior,ThunderBay,MP.DY.EB.PD,Kingfisher,4/19/2017,14:51,STH17020,NA,NA,48.49075,-89.03937,dd,boat,13,m,boat,1.9,YSI550A
Superior,ThunderBay,MP.DY.EB.PD,Kingfisher,4/20/2017,8:54,STH17023,NA,NA,48.49954,-88.99456,dd,boat,2,m,boat,1.8,YSI550A
Superior,ThunderBay,MP.DY.EB.PD,Kingfisher,4/20/2017,9:12,STH17024,NA,718,48.49883,-88.99433,dd,boat,6,m,boat,1.7,YSI550A
Superior,ThunderBay,MP.DY.EB.PD,Kingfisher,4/20/2017,9:33,STH17025,NA,719,48.49837,-88.99498,dd,boat,5,m,boat,1.7,YSI550A
Superior,ThunderBay,MP.DY.EB.PD,Kingfisher,4/20/2017,9:53,STH17026,NA,721,48.49671,-88.99615,dd,boat,20,m,boat,1.7,YSI550A
Superior,ThunderBay,MP.DY.EB.PD,Kingfisher,4/20/2017,10:29,STH17027,NA,722,48.50409,-88.9865,dd,boat,5,m,boat,1.8,YSI550A
Superior,ThunderBay,MP.DY.EB.PD,Kingfisher,4/20/2017,10:48,STH17028,NA,723,48.50486,-88.98751,dd,boat,12,m,boat,1.7,YSI550A
Superior,ThunderBay,MP.DY.EB.PD,Kingfisher,4/20/2017,11:40,STH17029,NA,725,48.50574,-88.98753,dd,boat,9,m,boat,1.8,YSI550A
Superior,ThunderBay,MP.DY.EB.PD,Kingfisher,4/20/2017,12:14,STH17030,NA,726,48.50677,-88.98751,dd,boat,6,m,boat,2.1,YSI550A
Superior,ThunderBay,MP.DY.EB.PD,Kingfisher,4/20/2017,12:36,STH17031,NA,727,48.50861,-88.98696,dd,boat,2,m,boat,2.6,YSI550A
Superior,ThunderBay,MP.DY.DM,ice,2/20/2018,10:14,STH18001,NA,18001,48.48503,-89.08539,dd,Garmin,3,m,handheldSounder,-0.1,YSIProODO
